run gen best mean std
1 0 368.0 96.5 96.225906
1 1 363.5 158.35 103.391259
1 2 363.5 186.2625 131.379079
1 3 372.5 232.375 116.407836
1 4 372.5 240.8875 110.57455
1 5 377.0 278.575 107.001376
1 6 384.0 305.0125 82.082694
1 7 384.5 328.075 39.146607
1 8 384.5 333.7625 40.993595
1 9 413.5 343.0375 35.333834
